"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2009,"A1","Canberra College","City",24,28,10,62,,,15,15,20,20,25,25,30,30,180,0,35,35,215,2,2,20,0,0,35,0,55,,,176,6,6,0,10,15,5,10,40,15,0,10,10,0,35,10,5,0,10,0,25,,,,,,,100,,12,-1.14,,,608,,18
2009,"A2","Bega High School","Country",40,34,11,85,1,2,15,15,20,20,25,0,30,30,155,0,0,0,155,3,19,40,0,0,25,30,95,6,,132,3,,5,0,15,5,10,35,15,5,10,10,0,40,0,0,0,0,15,15,,,,,,,90,4,16,-0.38,5,18,557,3,
2009,"A3","Chevalier College","Country",,,,N/A,,,15,15,20,0,25,25,0,30,130,0,0,0,130,6,,20,0,60,40,10,130,5,,104,5,,5,10,15,5,10,45,15,0,0,10,0,25,0,0,0,0,15,15,0,10,0,0,0,10,95,3,14,-1.15,8,,459,6,
2009,"A4","Burgmann Anglican School","City",35,34,15,84,2,3,15,0,20,20,25,0,0,30,110,10,20,30,140,,,60,60,60,30,0,210,6,6,208,1,1,0,10,15,5,10,40,15,0,10,10,15,50,0,0,0,10,15,25,10,0,10,0,0,20,135,4,4,1.74,1,1,777,3,3
2009,"A5","Canberra Girls Grammar","City",31,25,9,65,,20,15,0,20,20,25,25,0,18,123,0,0,0,123,,,10,20,45,20,60,155,,14,172,7,7,5,10,0,5,10,30,15,0,10,10,0,35,10,0,0,0,0,10,,,,,,,75,,,-0.28,,16,590,,20
2009,"A6","Canberra Grammar School","City",25,25,10,60,,,15,15,20,20,25,25,30,30,180,0,35,35,215,2,2,50,55,0,40,60,205,8,8,156,,12,5,10,15,5,10,45,15,0,0,10,0,25,10,0,0,10,15,35,10,10,10,0,0,30,135,4,4,-0.04,10,13,771,4,4
2009,"A7","Daramalan College","City",25,20,10,55,,,15,15,20,20,25,25,30,30,180,10,0,10,190,7,8,40,30,60,20,60,210,6,6,168,8,8,5,10,0,0,10,25,0,5,0,10,15,30,10,0,15,10,15,50,0,10,0,0,0,10,115,8,9,0.80,2,2,738,7,7
2009,"A8","Dickson College","City",26,30,14,70,,14,15,0,20,0,0,25,30,30,120,5,5,10,130,,,0,30,0,25,40,95,,,144,,20,0,10,0,0,10,20,15,0,0,10,0,25,10,0,0,0,15,25,,,,,,,70,,,-0.52,,,509,,
2009,"B1","Erindale College","City",31,35,14,80,4,5,15,15,20,0,25,25,0,30,130,10,0,10,140,,,40,10,0,40,30,120,,,112,,,5,10,15,0,10,40,15,0,0,10,15,40,,,,,,,,,,,,,80,,20,-0.63,,,532,,
2009,"B2","Hawker College Blue","City",27,35,11,73,9,12,15,0,20,20,25,25,30,30,165,0,0,0,165,,13,20,60,60,60,0,200,9,9,164,,11,5,10,15,5,10,45,15,0,10,10,0,35,10,0,0,0,0,10,,,,,,,90,,16,-0.64,,,692,10,10
