"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2006,"A1","Batemans Bay High School","Country",0,0,0,0,6,,0,15,0,20,0,0,0,0,35,0,0,0,35,8,,40,0,35,35,55,165,4,12,160,8,,10,0,5,0,15,30,0,0,0,15,0,15,0,0,20,0,0,20,10,0,0,20,0,30,95,2,14,-0.70,9,,455,8,
2006,"A2","Bega High School","Country",39,31,18,88,1,3,0,0,20,20,25,0,30,30,125,4,0,4,129,1,3,0,50,25,45,40,160,5,15,180,5,,10,0,5,0,0,15,0,10,10,15,0,35,0,0,20,0,10,30,,,,,,,80,6,,0.37,3,9,637,1,11
2006,"A3","Bowral High School","Country",32,31,18,81,3,7,0,15,0,20,25,0,30,30,120,4,2,6,126,2,4,0,10,0,10,50,70,10,,108,,,10,0,5,0,15,30,0,0,0,15,0,15,5,0,20,0,10,35,0,0,15,0,0,15,95,2,14,-0.48,7,,480,6,
2006,"A4","Canberra Girls Grammar","City",35,35,19,89,2,2,0,15,20,20,0,0,30,0,85,25,0,25,110,5,7,30,40,35,0,10,115,,,208,,12,10,0,5,0,15,30,15,10,0,15,15,55,0,5,20,0,10,35,,,,,,,120,7,7,0.27,7,10,642,10,10
2006,"A5","Canberra Grammar","City",30,25,14,69,,16,0,15,0,0,25,0,30,0,70,10,0,10,80,,15,40,45,20,15,45,165,9,12,212,8,9,10,0,5,0,15,30,15,0,10,15,15,55,0,5,20,20,10,55,10,0,15,0,0,25,165,1,1,0.15,8,11,691,8,8
2006,"A6","Chevalier College","Country",25,30,14,69,5,16,0,15,10,20,25,0,10,0,80,0,0,0,80,4,15,30,10,0,25,5,70,10,,196,3,18,10,0,5,0,15,30,0,0,0,15,15,30,,,,,,,,,,,,,60,,,-1.22,,,475,7,
2006,"A7","Copland College","City",29,26,14,69,,16,0,15,20,20,0,0,30,0,85,0,0,0,85,10,13,60,30,40,20,50,200,6,6,224,4,4,10,10,5,5,15,45,15,10,0,15,15,55,5,0,20,0,10,35,,,,,,,135,4,4,-0.02,10,13,713,6,6
2006,"A8","Daramalan College","City",38,28,17,83,3,4,10,0,20,20,25,0,30,0,105,18,0,18,123,4,6,60,10,0,60,60,190,8,8,208,,12,10,0,5,0,15,30,0,0,0,15,15,30,0,0,20,0,0,20,10,0,0,20,0,30,110,,11,0.87,2,2,714,5,5
2006,"B1","Dickson College","City",26,32,15,73,9,13,10,0,0,20,0,0,30,0,60,0,6,6,66,,,60,35,60,10,0,165,9,12,200,,15,10,10,5,0,15,40,0,0,0,15,15,30,0,5,20,0,0,25,,,,,,,95,,14,0.10,9,12,599,,14
2006,"B2","Erindale College","City",31,25,14,70,10,14,10,15,0,20,0,0,30,30,105,0,0,0,105,7,9,30,40,15,15,40,140,,19,224,4,4,10,0,5,0,15,30,0,10,0,15,15,40,5,0,20,0,0,25,,,,,,,95,,14,-0.05,,15,634,,12
