"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2017,"A1","Chevalier College 1","City",,,,N/A,,,0,15,0,0,25,25,20,0,85,0,35,35,120,8,8,10,50,50,60,20,190,5,5,188,11,11,10,10,5,5,15,45,0,10,10,15,15,50,0,5,20,20,10,55,10,0,0,0,0,10,160,4,4,1.22,1,1,658,7,7
2017,"A2","Combined 1","City",,,,N/A,,,0,15,0,0,0,0,10,0,25,0,,0,25,29,34,35,50,40,60,25,210,2,2,68,30,35,10,0,5,5,15,35,15,10,10,0,15,50,0,5,0,0,0,5,,,,,,,90,18,18,-0.44,22,28,393,23,23
2017,"A3","Burgmann Anglican 1","City",,,,N/A,,,15,15,20,,25,,30,,105,35,,35,140,5,5,30,40,30,20,20,140,20,24,200,8,8,10,10,5,5,15,45,0,10,10,0,0,20,0,5,20,0,10,35,,,,,,,100,16,16,0.40,7,8,580,10,10
2017,"A4","Chevalier College 2","City",,,,N/A,,,15,15,,,,,,,30,0,,0,30,27,32,20,60,0,0,60,140,20,24,136,19,19,10,0,5,0,5,20,15,10,0,0,0,25,0,5,20,0,10,35,,,,,,,80,19,19,0.41,6,7,386,24,25
2017,"A5","Canberra Girls Gram 1","City",,,,N/A,,,,15,20,20,25,25,,,105,0,,0,105,12,12,30,40,50,50,20,190,5,5,216,5,5,10,10,5,0,15,40,0,10,10,15,15,50,0,5,20,0,10,35,10,0,0,0,20,30,155,6,6,0.23,12,14,666,6,6
2017,"A6","Dickson College 1","City",,,,N/A,,,,15,20,20,25,,,30,110,0,,0,110,11,11,10,20,60,60,40,190,5,5,220,4,4,10,10,0,5,15,40,15,10,0,0,15,40,,,,,,,,,,,,,80,19,19,-0.58,24,30,600,9,9
2017,"A7","Merici College","City",,,,N/A,,,,,,,25,,10,,35,0,,0,35,25,30,30,20,35,0,0,85,30,36,136,19,19,10,10,5,5,5,35,15,0,10,15,15,55,0,5,20,20,0,45,10,15,0,20,0,45,180,2,2,-0.62,26,32,436,18,18
2017,"A8","Wellington High","Country",,,,N/A,,,,15,,10,25,,10,30,90,0,,0,90,1,15,0,10,10,30,0,50,7,37,44,6,37,10,10,0,5,0,25,0,10,0,0,0,10,,,,,,,,,,,,,35,6,36,0.04,4,21,219,6,36
2017,"A9","Brindabella Christian College","City",,,,N/A,,,,15,,,25,,10,,50,0,,0,50,20,22,50,0,20,30,60,160,14,15,92,25,28,10,10,5,0,15,40,0,10,0,15,0,25,0,5,0,0,0,5,,,,,,,70,23,24,-0.57,23,29,372,26,28
2017,"AT","Sthn Hlands Christian 2","Country",,,,N/A,,,,15,,10,,,,,25,0,,0,25,6,34,25,45,0,15,25,110,6,33,36,7,38,10,0,5,0,0,15,,,,,,,0,5,0,0,0,5,,,,,,,20,7,38,-0.33,5,23,191,7,38
2017,"B1","Canberra Grammar","City",,,,N/A,,,,15,20,20,25,25,20,,125,35,15,50,175,2,2,30,40,40,0,30,140,20,24,224,3,3,10,10,5,0,15,40,15,10,0,0,15,40,0,5,20,20,10,55,10,0,15,0,0,25,160,4,4,0.38,8,9,699,4,4
2017,"B2","Gungahlin College","City",,,,N/A,,,,15,,,,,10,,25,,15,15,40,23,26,40,10,50,60,0,160,14,15,96,24,26,10,0,5,5,0,20,15,10,10,0,15,50,0,5,0,0,0,5,0,0,0,0,0,0,75,21,21,-0.66,29,36,371,27,29
2017,"B3","Lake Ginninderra 1","City",,,,N/A,,,15,15,,,25,25,20,,100,,20,20,120,8,8,25,40,0,10,40,115,26,30,160,16,16,10,10,5,5,15,45,15,10,10,0,15,50,0,5,20,0,0,25,10,0,0,0,0,10,130,10,10,0.09,14,17,525,13,13
2017,"B4","Marist College 1","City",,,,N/A,,,,15,20,10,25,,30,,100,,35,35,135,7,7,35,50,10,60,60,215,1,1,200,8,8,10,0,5,0,15,30,15,10,10,15,15,65,0,0,20,0,0,20,10,0,0,0,20,30,145,8,8,0.51,5,5,695,5,5
2017,"B5","Narrabundah College","City",,,,N/A,,,,15,20,,25,25,30,,115,0,,0,115,10,10,45,30,20,40,20,155,16,18,168,14,14,10,0,5,5,15,35,15,10,0,15,0,40,0,5,0,0,0,5,10,0,15,0,0,25,105,12,12,-0.34,19,24,543,11,11
