Round 1,,
,,
Site,School Keys,School Names
A1,A2,Batemans Bay High School
,B2,Braidwood Central School
,,
A3,A4,Bishop Tyrrell Anglican College
,B4,Nowra High School
,,
B1,A3,Bega High School
,B1,Bomaderry High School
,,
B3,A1,Abbotsleigh
,B3,Lake Tuggeranong College
,,
