"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2018,"A1","Burgmann Anglican College 1","City",,,,N/A,,,15,15,,20,25,,,,75,,35,35,110,7,7,30,10,60,0,40,140,18,20,152,10,10,0,0,0,5,0,5,15,10,10,15,0,50,5,0,0,20,0,25,,,,,,,80,13,13,Not Calculated,,,482,12,12
2018,"A2","Sydney Technical High School 1","City",,,,N/A,,,,,,20,,,,15,35,35,35,70,105,8,8,50,10,50,60,60,230,4,4,132,16,16,10,0,0,5,0,15,15,10,10,15,15,65,5,0,0,20,0,25,0,15,0,0,0,15,120,4,4,Not Calculated,,,587,6,6
2018,"A3","Canberra College #1","City",,,,N/A,,,15,,,,,,,15,30,,,0,30,19,24,60,50,60,60,30,260,2,2,176,5,5,10,0,5,5,15,35,15,10,10,15,0,50,5,0,0,0,0,5,,,,,,,90,8,8,Not Calculated,,,556,9,9
2018,"A4","Lake Tuggeranong College 1","City",,,,N/A,,,15,,,,,,,30,45,35,35,70,115,6,6,50,10,0,30,20,110,21,24,52,26,33,0,0,0,5,15,20,15,0,10,15,0,40,5,0,0,0,0,5,,,,,,,65,19,19,Not Calculated,,,342,20,22
2018,"A5","Melba Sec School","City",,,,N/A,,,,,,,,,,,,,,0,N/A,,,60,60,30,0,20,170,11,12,116,18,18,0,0,0,5,0,5,15,10,0,15,0,40,,,,,,,,,,,,,45,23,27,Not Calculated,,,331,22,24
2018,"A6","Moruya High School 1","Country",,,,N/A,,,15,15,20,,,,,,50,,35,35,85,1,11,10,60,30,60,0,160,2,15,92,2,24,0,0,5,5,15,25,0,10,0,0,0,10,,,,,,,,,,,,,35,5,31,Not Calculated,,,372,2,20
2018,"A7","Hawker College ~","City",,,,N/A,,,15,15,,,,,,,30,,,0,30,19,24,10,10,60,60,40,180,8,9,152,10,10,10,0,0,5,15,30,0,0,10,0,0,10,5,0,0,0,0,5,,,,,,,45,23,27,Not Calculated,,,407,16,16
2018,"A8","Brindabella Christian School ~","City",,,,N/A,,,,,,,25,,,,25,,,0,25,26,32,0,60,50,10,60,180,8,9,112,20,20,10,0,0,5,15,30,15,0,0,15,0,30,5,0,0,0,0,5,,,,,,,65,19,19,Not Calculated,,,382,17,18
2018,"A9","Burgmann Anglican College 2","City",,,,N/A,,,15,,,,,,,15,30,,,0,30,19,24,0,0,30,40,30,100,25,30,52,26,33,0,0,0,5,0,5,0,0,0,15,0,15,,,,,,,,,,,,,20,28,34,Not Calculated,,,202,28,35
2018,"B1","Chevalier College 1","Country",,,,N/A,,,15,15,,,,,,,30,,,0,30,6,24,50,30,60,0,60,200,1,7,108,1,21,10,0,5,5,15,35,0,0,10,0,15,25,,,,,,,,,,,,,60,1,22,Not Calculated,,,398,1,17
