"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2012,"A1","Bega High School","Country",,,,N/A,,,0,15,20,20,0,25,30,0,110,0,5,5,115,5,,60,0,60,20,0,140,4,20,132,4,18,10,0,10,10,0,30,10,0,10,10,0,30,10,10,10,0,10,40,0,10,0,0,0,10,110,5,,Not Calculated,,,497,5,
2012,"A2","Canberra Girls 1","City",,,,N/A,,,,,,,,,,,130,0,5,5,135,,20,10,30,20,60,50,170,8,9,180,6,6,10,10,10,10,10,50,10,10,10,10,0,40,10,10,10,10,10,50,10,10,10,10,0,40,180,6,6,Not Calculated,,,665,8,9
2012,"A3","Burgmann Anglican School 1","City",,,,N/A,,,,,,,,,,,180,0,0,0,180,10,12,30,50,50,60,60,250,1,1,184,4,4,10,10,0,10,10,40,10,10,10,10,10,50,10,10,10,10,0,40,,,,,,30,160,,12,Not Calculated,,,774,3,3
2012,"A4","Canberra Grammar","City",,,,N/A,,,15,15,20,20,25,25,30,30,180,35,35,70,250,1,1,60,10,30,0,60,160,10,12,132,,18,10,10,10,10,10,50,10,10,10,10,10,50,10,10,10,10,10,50,10,10,10,10,10,50,200,1,1,Not Calculated,,,742,4,4
2012,"A5","Gungahlin College","City",,,,N/A,,,15,15,20,20,25,25,30,30,180,0,5,5,185,6,7,50,60,60,0,0,170,8,9,104,,,10,0,0,10,10,30,10,10,10,10,10,50,10,10,10,10,0,40,10,10,10,10,10,50,170,8,8,Not Calculated,,,629,,13
2012,"A6","Canberra Girls 2","City",,,,N/A,,,15,15,20,20,25,25,30,30,180,0,5,5,185,6,7,0,60,40,0,60,160,10,12,152,9,11,10,10,0,10,10,40,10,10,10,10,10,50,0,0,10,10,0,20,10,0,0,0,0,10,120,,,Not Calculated,,,617,,15
2012,"A7","Chevalier College","Country",,,,N/A,,,15,15,20,20,25,25,30,30,180,35,0,35,215,1,3,0,50,30,0,10,90,7,,172,2,8,10,10,0,10,0,30,10,10,10,10,10,50,10,10,10,10,0,40,10,10,10,10,10,50,170,1,8,Not Calculated,,,647,2,12
2012,"A8","Daramalan College","City",,,,N/A,,,15,15,20,20,25,25,30,30,180,0,0,0,180,10,12,60,50,0,0,50,160,10,12,188,3,3,10,10,10,10,10,50,10,10,10,10,10,50,0,10,10,10,10,40,10,10,10,10,10,50,190,4,4,Not Calculated,,,718,6,6
2012,"B1","Dickson College","City",,,,N/A,,,15,15,20,0,25,25,30,30,160,0,20,20,180,10,12,0,60,0,40,60,160,10,12,172,7,8,10,10,10,0,10,40,10,10,0,10,10,40,10,10,10,0,10,40,,,,,,30,150,,14,Not Calculated,,,662,9,10
2012,"B2","Hawker College","City",,,,N/A,,,15,15,20,20,25,25,30,30,180,0,3,3,183,9,11,0,0,60,20,60,140,,20,76,,,10,0,0,10,10,30,10,10,10,10,10,50,10,10,10,10,0,40,10,10,0,10,0,30,150,,14,Not Calculated,,,549,,18
