"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2007,"A1","Batemans Bay High School","Country",,,,N/A,,,15,15,0,20,5,5,0,10,70,3,0,3,73,7,,10,10,10,10,35,75,,,116,9,,0,0,10,0,10,20,,,,,,,,,,,,,,,,,,,20,5,,-0.95,,,284,,
2007,"A2","Bega High School","Country",33,33,20,86,1,1,15,15,20,20,5,0,30,0,105,7,10,17,122,2,9,10,20,25,60,30,145,7,19,140,5,16,0,0,10,0,0,10,,,,,,,,,,,,,,,,,,,10,9,,-0.16,7,13,503,3,14
2007,"A3","Bowral High School","Country",,,,N/A,,,15,0,0,20,5,0,0,0,40,0,10,10,50,,,40,30,50,20,0,140,8,,132,8,,0,0,10,0,15,25,0,0,0,10,0,10,,,,,,,,,,,,,35,3,16,-0.47,10,19,357,8,
2007,"A4","Canberra Girls Grammar","City",20,30,12,62,9,10,15,15,5,20,5,25,0,10,95,6,20,26,121,8,10,20,10,35,50,55,170,10,12,136,,17,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,-0.28,9,17,499,,15
2007,"A5","Canberra Grammar","City",30,36,16,82,1,2,15,15,20,20,25,25,30,0,150,15,0,15,165,3,4,20,30,60,20,15,145,,19,200,3,3,10,10,10,0,15,45,0,0,0,0,15,15,0,10,10,10,0,30,10,0,0,0,0,10,100,3,3,0.81,2,4,692,2,2
2007,"A6","Chevalier College","Country",20,23,12,55,5,16,15,15,0,20,5,0,0,0,55,0,0,0,55,10,,20,50,45,10,40,165,3,13,136,6,17,0,10,10,0,0,20,15,0,0,0,15,30,0,0,0,0,0,0,,,,,,,50,2,10,0.05,5,10,461,5,20
2007,"A7","Copland College","City",26,29,14,69,5,6,15,15,5,20,25,0,5,10,95,5,10,15,110,,15,30,0,40,0,5,75,,,192,4,4,10,10,0,0,0,20,15,0,0,0,15,30,,,,,,,,,,,,,50,9,10,-1.02,,,496,,18
2007,"A8","Daramalan College 1","City",,,,N/A,,,15,0,5,20,25,0,30,0,95,8,35,43,138,7,8,30,50,35,30,40,185,4,6,116,,,10,10,10,0,15,45,15,0,0,0,0,15,0,0,0,0,10,10,,,,,,,70,5,5,-0.49,,,509,,13
2007,"B1","Dickson College","City",,,,N/A,,,15,15,0,20,25,0,0,30,105,4,5,9,114,10,13,10,40,60,20,50,180,7,9,180,6,7,10,0,0,0,0,10,15,0,0,0,0,15,,,,,,,,,,,,,25,,17,-0.01,6,11,499,,15
2007,"B2","Erindale College","City",,,,N/A,,,15,15,5,20,5,0,0,30,90,4,0,4,94,,,40,60,25,0,40,165,,13,124,,,0,10,10,0,0,20,0,0,0,0,0,0,0,0,0,10,10,20,10,0,0,0,0,10,50,9,10,-0.90,,,433,,
2007,"B3","Narrabundah College 2","City",12,22,10,44,,19,15,15,20,20,25,0,0,30,125,8,35,43,168,2,2,0,40,20,30,35,125,,,168,8,9,10,0,10,0,15,35,15,0,0,10,15,40,0,10,10,10,0,30,,,,,,,105,1,1,-0.22,8,15,610,5,5
2007,"B4","Hawker College","City",28,35,16,79,3,4,15,15,20,20,5,25,5,20,125,32,35,67,192,1,1,60,60,30,20,45,215,2,2,204,2,2,10,10,10,0,15,45,15,0,10,0,15,40,0,10,0,10,0,20,,,,,,,105,1,1,1.30,1,1,795,1,1
2007,"B5","Queanbeyan High School","Country",,,,N/A,,,15,0,5,0,5,20,0,0,45,0,0,0,45,,,20,0,0,50,40,110,9,,76,,,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,,,,,,,10,9,,-0.60,,,241,,
2007,"B6","Daramalan College 2","City",,,,N/A,,,15,0,20,20,20,0,0,0,75,0,35,35,110,,15,60,55,30,30,40,215,2,2,108,,,0,10,10,0,0,20,0,0,0,0,15,15,0,10,0,0,0,10,,,,,,,45,,13,-0.74,,,478,,19
2007,"B7","Lake Ginninderra College","City",30,25,18,73,4,5,15,15,20,20,25,25,5,20,145,6,0,6,151,5,6,40,50,30,40,20,180,7,9,164,10,12,0,10,0,0,15,25,,,,,,,,,,,,,,,,,,,25,,17,-0.48,10,20,593,6,6
2007,"B8","Lake Tuggeranong College","City",24,25,11,60,10,12,15,15,0,20,25,0,0,10,85,10,0,10,95,,,10,40,20,0,60,130,,,96,,,0,10,0,0,0,10,15,0,0,0,0,15,,,,,,,,,,,,,25,,17,-0.76,,,406,,
2007,"C1","MacKillop Catholic College","City",,,,N/A,,,15,15,20,20,5,25,0,10,110,2,0,2,112,,14,20,20,10,0,30,80,,,116,,,0,0,10,0,0,10,,,,,,,,,,,,,,,,,,,10,,,-0.70,,,318,,
2007,"C2","Marist College","City",26,28,12,66,7,8,15,15,20,20,5,25,30,30,160,0,5,5,165,3,4,60,10,30,30,30,160,,15,136,,17,0,0,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,,,,,,,20,,,-1.08,,,547,8,8
2007,"C3","Saphire Coast Anglican College","Country",24,23,11,58,4,15,15,15,5,20,0,0,0,10,65,6,0,6,71,8,,40,50,0,50,15,155,5,17,148,4,15,10,0,10,0,0,20,,,,,,,,,,,,,,,,,,,20,5,,-0.25,8,16,452,6,
2007,"C4","Monaro High School","Country",,,,N/A,,,15,0,5,20,5,0,0,20,65,6,0,6,71,8,,50,10,25,60,45,190,1,4,60,,,0,0,10,0,0,10,,,,,,,,,,,,,,,,,,,10,9,,-0.08,6,12,331,9,
2007,"C5","Moruya High School","Country",28,22,10,60,3,12,15,15,20,20,25,0,0,10,105,4,10,14,119,3,11,40,0,35,40,35,150,6,18,168,2,9,0,0,0,0,0,0,15,0,0,0,0,15,,,,,,,,,,,,,15,8,,0.28,4,8,512,2,12
2007,"C6","Trinity Catholic College","Country",16,20,10,46,6,17,15,15,20,20,25,0,30,30,155,11,0,11,166,1,3,0,30,30,0,10,70,,,188,1,6,0,0,0,0,0,0,15,0,0,0,0,15,10,10,0,10,10,40,,,,,,,55,1,8,0.54,3,5,525,1,11
2007,"C7","Narrabundah College 1","City",22,22,15,59,,14,15,15,5,20,5,25,0,20,105,5,5,10,115,9,12,50,20,15,30,25,140,,,192,4,4,10,10,10,0,15,45,0,0,10,0,0,10,,,,,,,,,,,,,55,8,8,-0.61,,,561,7,7
2007,"C8","Hawker College 2","City",24,26,15,65,8,9,15,0,20,20,5,25,30,20,135,9,0,9,144,6,7,20,30,45,60,30,185,4,6,180,6,7,0,10,10,0,15,35,15,0,0,0,15,30,,,,,,,,,,,,,65,6,6,0.05,5,9,639,4,4
2007,"D1","Radford College","City",,,,N/A,,,15,15,20,20,25,5,0,0,100,5,0,5,105,,17,40,40,25,60,20,185,4,6,160,,13,10,0,10,0,0,20,0,0,0,10,10,20,0,10,10,10,0,30,10,0,0,0,0,10,80,4,4,-0.88,,,530,10,10
2007,"D2","Snowy Mountains Grammar","Country",28,22,12,62,2,10,15,15,20,20,5,0,0,0,75,8,2,10,85,5,,20,45,40,60,25,190,1,4,136,6,17,0,0,0,0,0,0,0,0,0,0,15,15,0,10,0,0,0,10,,,,,,,25,4,17,1.12,1,2,498,4,17
2007,"D3","St Clare's College","City",24,31,14,69,5,6,15,0,0,20,25,0,30,10,100,0,0,0,100,,19,20,20,35,20,20,115,,,128,,,10,10,10,0,0,30,15,0,0,0,0,15,,,,,,,,,,,,,45,,13,-0.21,7,14,457,,
2007,"D4","St Edmund's College","City",,,,N/A,,,0,15,20,20,25,0,0,0,80,4,5,9,89,,,0,15,15,40,20,90,,,92,,,0,10,0,0,0,10,,,,,,,,,,,,,,,,,,,10,,,-0.92,,,281,,
2007,"D5","Sydney Tech. High School","City",34,34,13,81,2,3,15,15,0,20,5,0,0,0,55,10,35,45,100,,19,40,60,60,40,20,220,1,1,208,1,1,0,10,0,0,15,25,15,0,0,0,0,15,0,10,0,10,0,20,,,,,,,60,7,7,0.41,4,7,669,3,3
2007,"D6","Canberra College Woden","City",12,22,11,45,,18,15,15,5,20,5,25,0,0,85,6,10,16,101,,18,50,30,30,30,40,180,7,9,168,8,9,0,10,10,0,0,20,0,0,0,0,0,0,10,0,0,0,10,20,0,0,0,0,0,0,40,,15,0.52,3,6,534,9,9
2007,"D7","Wellington High School","Country",,,,N/A,,,15,15,20,20,5,0,0,10,85,8,5,13,98,4,,50,30,50,10,20,160,4,15,152,3,14,0,0,10,0,0,10,0,10,0,0,0,10,,,,,,,,,,,,,20,5,,1.10,2,3,430,7,
2007,"D8","Young High School","Country",,,,N/A,,,15,15,0,20,25,0,0,0,75,1,0,1,76,6,,40,5,0,40,25,110,9,,108,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,9,,-0.28,9,18,304,10,
