"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2002,"A1","Batemans Bay High School","Country",,,,N/A,,,0,15,0,0,25,25,20,20,105,0,0,0,105,10,,10,15,30,25,35,115,,,152,4,17,0,10,0,5,0,15,0,10,0,15,0,25,5,5,0,0,0,10,,,,,,,50,7,,-0.29,10,20,422,,
2002,"A2","Bega High School","Country",31,20,12,63,2,8,15,15,10,20,25,25,10,5,125,5,0,5,130,5,16,0,35,50,20,35,140,8,17,140,10,,0,0,5,0,0,5,15,0,0,15,0,30,5,0,0,0,0,5,,,,,,,40,9,,-0.49,,,513,6,20
2002,"A3","Bega Valley Christian College","Country",29,13,11,53,8,,15,15,20,20,25,25,10,30,160,0,30,30,190,1,1,30,0,50,10,15,105,,,192,1,6,10,0,5,5,15,35,0,10,0,15,0,25,5,5,0,20,10,40,,,,,,,100,2,11,1.00,1,3,640,1,9
2002,"A4","Bomaderry High School","Country",29,22,12,63,2,8,0,15,0,0,0,25,0,30,70,0,20,20,90,,,30,25,20,50,10,135,9,20,144,6,,0,0,5,0,15,20,0,0,0,15,0,15,5,0,0,0,0,5,,,,,,,40,9,,-1.30,,,472,9,
2002,"A5","Bowral High School","Country",26,18,11,55,6,20,15,15,20,10,0,25,10,30,125,0,0,0,125,6,18,50,20,20,50,25,165,3,12,144,6,,0,0,5,5,15,25,15,0,0,15,0,30,5,5,20,0,10,40,,,,,,,95,3,12,-0.08,9,18,584,4,17
2002,"A6","Canberra College Woden","City",,,,N/A,,,15,15,20,10,25,25,10,20,140,2,27,29,169,5,6,60,25,35,30,40,190,4,5,152,,17,0,10,5,5,15,35,15,10,0,15,0,40,0,5,0,20,10,35,,,,,,,110,8,8,-0.66,,,621,10,13
2002,"A7","Canberra Girls Grammar","City",28,18,11,57,,17,15,15,20,20,25,15,10,30,150,0,0,0,150,9,11,30,20,45,40,45,180,7,8,208,4,4,0,10,5,5,15,35,0,0,0,0,15,15,5,5,0,20,0,30,,,,,,,80,,15,0.75,4,5,675,6,6
2002,"A8","Canberra Grammar","City",29,18,11,58,,16,15,15,20,20,0,25,20,5,120,0,0,0,120,,,60,40,15,30,40,185,5,6,180,9,10,0,10,5,5,0,20,0,10,10,0,0,20,5,5,20,0,0,30,0,0,15,0,0,15,85,10,13,-0.55,,,628,9,12
2002,"A9","Chevalier College","Country",32,17,12,61,4,11,15,15,10,20,0,25,10,10,105,0,30,30,135,3,13,15,25,35,45,45,165,3,12,168,2,14,0,10,5,5,0,20,15,0,10,0,0,25,5,5,0,20,0,30,0,15,15,0,0,30,105,1,10,0.27,3,9,634,3,11
2002,"B1","Cootamundra High School","Country",,,,N/A,,,,,,,,,,,0,0,0,0,0,,,40,15,5,15,50,125,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,-3.35,,,125,,
2002,"B2","Copland College","City",33,20,13,66,3,4,15,15,0,0,0,25,20,25,100,0,1,1,101,,,50,10,35,0,15,110,,,128,,,10,10,5,5,15,45,0,10,0,15,0,25,5,5,0,20,10,40,,,,,,,110,8,8,-1.77,,,515,,19
2002,"B3","Daramalan College","City",38,15,13,66,3,4,15,15,20,20,25,25,0,30,150,35,0,35,185,1,2,30,60,10,20,55,175,8,10,216,2,2,0,10,5,5,0,20,15,0,10,15,0,40,5,5,0,20,10,40,0,0,15,0,20,35,135,6,6,1.70,1,1,777,3,3
2002,"B4","Dickson College","City",29,20,12,61,8,11,15,15,20,0,25,25,10,30,140,0,27,27,167,6,7,10,0,40,30,45,125,,,188,7,8,0,10,5,5,15,35,0,0,0,15,0,15,5,5,0,0,0,10,,,,,,,60,,,0.07,8,14,601,,16
2002,"B5","Erindale College","City",34,19,13,66,3,4,15,15,0,20,0,25,5,20,100,5,5,10,110,,,60,45,10,20,50,185,5,6,200,5,5,10,10,5,0,0,25,0,10,0,15,0,25,5,5,0,20,0,30,0,15,15,20,0,50,130,7,7,0.16,7,10,691,5,5
2002,"B6","Hawker College","City",35,19,14,68,2,3,15,15,20,20,25,25,10,30,160,0,20,20,180,4,5,30,20,30,15,20,115,,,164,,16,10,0,0,5,0,15,15,0,10,15,0,40,5,5,0,20,0,30,,,,,,,85,10,13,0.32,6,8,612,,14
2002,"B7","Karabar High School","Country",,,,N/A,,,15,15,10,0,25,25,10,5,105,0,17,17,122,8,,10,35,35,10,15,105,,,140,10,,0,10,5,5,15,35,0,0,0,0,0,0,5,5,0,20,0,30,,,,,,,65,5,18,-0.06,7,16,432,,
2002,"B8","Lake Ginninderra College","City",25,23,12,60,9,13,0,15,20,20,0,25,10,10,100,0,20,20,120,,,0,50,55,0,30,135,,20,188,7,8,10,10,5,5,15,45,15,10,0,15,0,40,5,5,20,20,10,60,0,0,15,0,0,15,160,2,2,-0.69,,,663,8,8
2002,"B9","Lake Tuggeranong College","City",27,29,16,72,1,2,15,15,20,20,0,15,5,5,95,0,34,34,129,,17,40,35,25,60,45,205,2,3,180,9,10,0,10,0,5,0,15,0,0,0,0,0,0,5,5,0,0,0,10,,,,,,,25,,,-0.34,,,611,,15
2002,"C1","MacKillop Catholic College","City",25,20,11,56,,19,15,15,10,10,25,15,10,5,105,0,20,20,125,,18,45,0,20,60,15,140,10,17,116,,,10,0,5,5,0,20,0,10,0,15,0,25,5,5,0,0,0,10,0,0,15,0,0,15,70,,17,0.55,5,7,507,,
2002,"C2","Marist College","City",26,15,10,51,,,15,15,20,20,25,25,10,30,160,5,17,22,182,3,4,0,60,50,45,20,175,8,10,220,1,1,0,10,5,5,15,35,15,10,0,0,0,25,5,5,20,20,10,60,0,15,15,20,0,50,170,1,1,0.88,3,4,798,2,2
2002,"C3","Merici College","City",27,13,10,50,,,0,15,10,0,0,25,10,30,90,5,0,5,95,,,20,35,25,15,45,140,10,17,148,,19,0,0,5,5,0,10,0,0,0,15,0,15,5,5,20,0,10,40,,,,,,,65,,18,-0.92,,,498,,
2002,"C4","Monaro High School","Country",19,17,9,45,10,,15,15,10,0,0,25,20,5,90,0,0,0,90,,,30,35,30,40,15,150,6,15,128,,,0,0,5,5,0,10,0,0,0,0,15,15,,,,,,,,,,,,,25,,,-0.45,,,438,,
2002,"C5","Moruya High School","Country",33,37,18,88,1,1,15,15,10,10,25,25,10,5,115,0,20,20,135,3,13,50,60,40,60,0,210,1,2,140,10,,0,10,5,5,15,35,0,0,10,0,0,10,5,5,0,0,10,20,,,,,,,65,5,18,0.65,2,6,638,2,10
2002,"C6","Narrabundah College","City",29,19,12,60,9,13,15,15,20,20,0,25,10,30,135,0,17,17,152,8,10,0,40,35,0,30,105,,,192,6,6,10,0,5,0,15,30,15,10,10,15,0,50,5,5,20,20,10,60,0,15,0,0,0,15,155,3,3,-0.41,,,664,7,7
2002,"C7","Radford College","City",28,21,13,62,7,10,15,0,20,20,0,25,10,5,95,5,32,37,132,,15,60,25,25,60,35,205,2,3,180,9,10,10,10,5,0,15,40,15,0,10,15,0,40,5,5,0,20,0,30,0,15,15,0,0,30,140,5,5,0.00,9,15,719,4,4
