"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2011,"A1","Bega High School","Country",,,,N/A,,,15,15,20,20,0,25,30,30,155,0,0,0,155,4,,40,30,40,30,40,180,1,10,164,1,11,5,10,5,0,10,30,5,0,10,15,0,30,0,0,0,10,0,10,0,0,0,0,0,0,70,5,,-0.05,4,18,569,2,
2011,"A2","Burgmann Anglican School 2","City",,,,N/A,,,15,0,0,20,0,25,30,30,120,5,10,15,135,,,35,30,30,50,20,165,,13,140,,17,0,10,5,5,10,30,5,0,10,15,0,30,0,0,0,0,15,15,0,0,0,0,0,0,75,,,-0.50,,,515,,
2011,"A3","Burgmann Anglican School","City",,,,N/A,,,15,15,0,20,0,25,30,30,135,30,10,40,175,,15,30,50,30,40,25,175,,12,164,,11,5,10,0,5,0,20,5,0,10,15,0,30,10,15,0,10,0,35,0,0,15,0,0,15,100,,20,-0.26,,,614,,14
2011,"A4","Canberra Grammar 1","City",,,,N/A,,,15,15,20,20,25,25,30,30,180,30,20,50,230,1,1,40,30,40,50,40,200,4,4,172,8,8,5,10,5,5,10,35,5,0,10,15,0,30,10,15,0,10,15,50,15,15,15,10,15,70,185,5,5,0.73,6,6,787,2,2
2011,"A5","Canberra Grammar 2","City",,,,N/A,,,15,15,20,20,25,25,30,30,180,20,20,40,220,2,2,20,40,30,0,20,110,,,176,6,6,5,10,0,5,10,30,5,0,10,15,0,30,10,0,0,10,15,35,15,15,15,0,15,60,155,10,10,0.76,5,5,661,9,9
2011,"A6","Canberra Girls Grammar","City",,,,N/A,,,15,15,20,20,0,0,30,30,130,5,10,15,145,,,60,30,60,30,20,200,4,4,160,,14,5,10,5,0,0,20,5,0,10,15,0,30,10,15,20,10,15,70,15,15,15,10,15,70,190,3,3,0.78,4,4,695,6,6
2011,"A7","Chevalier College","Country",,,,N/A,,,15,15,20,20,0,25,30,30,155,5,10,15,170,1,16,0,30,30,60,5,125,4,,144,3,16,5,0,5,5,10,25,5,0,0,15,0,20,10,15,0,10,15,50,15,0,15,0,0,30,125,2,16,0.64,1,8,564,3,
2011,"A8","Daramalan College","City",,,,N/A,,,15,15,20,20,0,25,30,30,155,20,10,30,185,10,10,60,30,20,20,15,145,,19,124,,,5,0,5,5,10,25,5,0,10,15,0,30,10,15,0,10,15,50,15,15,15,10,15,70,175,8,8,-0.40,,,629,,12
2011,"A9","Monaro High School","Country",,,,N/A,,,15,15,0,20,25,0,30,30,135,0,10,10,145,5,,40,30,40,0,40,150,3,17,80,6,,5,10,0,5,10,30,5,0,10,15,0,30,10,0,0,0,0,10,15,0,0,0,0,15,85,3,,0.17,2,14,460,4,
2011,"AT","The Subs","City",,,,N/A,,,15,0,20,20,25,0,30,0,110,0,10,10,120,,,40,30,0,50,60,180,10,10,120,,,5,10,5,5,10,35,5,0,10,15,0,30,0,0,0,0,0,0,15,0,15,0,0,30,95,,,-0.50,,,515,,
2011,"B1","Dickson College","City",,,,N/A,,,15,15,0,20,0,0,30,30,110,20,10,30,140,,,20,30,30,60,60,200,4,4,120,,,5,10,5,5,10,35,5,15,10,15,0,45,10,0,0,10,15,35,0,15,0,0,0,15,130,,14,0.17,,12,590,,20
2011,"B2","Hawker College","City",,,,N/A,,,15,0,20,0,25,25,0,30,115,20,25,45,160,,,25,30,30,10,50,145,,19,100,,,5,10,5,0,10,30,5,0,10,15,20,50,10,0,0,0,0,10,,,,,,,90,,,-2.10,,,495,,
2011,"B3","Lake Ginninderra College","City",,,,N/A,,,15,15,20,20,25,25,30,30,180,25,10,35,215,3,3,20,30,30,60,0,140,,,176,6,6,5,10,5,5,10,35,5,0,10,15,0,30,10,0,0,0,0,10,0,0,0,0,0,0,75,,,-0.01,,17,606,,17
2011,"B4","Lake Tuggeranong College","City",,,,N/A,,,15,15,20,20,25,25,30,30,180,0,25,25,205,6,6,40,30,10,10,35,125,,,84,,,5,10,5,5,10,35,5,0,10,15,0,30,10,15,0,10,15,50,15,15,15,10,15,70,185,5,5,0.93,2,2,599,,19
2011,"B5","Lumen Catholic College","Country",,,,N/A,,,15,15,0,0,0,0,0,30,60,0,10,10,70,7,,0,10,20,0,0,30,7,,40,7,,5,10,5,5,10,35,0,0,10,15,0,25,10,0,0,10,0,20,,,,,,,80,4,,-3.19,7,,220,7,
2011,"B6","MacKillop Catholic College","City",,,,N/A,,,15,15,0,20,25,25,30,30,160,0,10,10,170,,16,30,30,40,30,20,150,,17,96,,,5,10,0,5,10,30,0,0,10,0,0,10,10,0,0,0,0,10,0,0,0,0,0,0,50,,,-0.28,,,466,,
