"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2016,"A1","Chevalier College","Country",0,0,0,0,5,,15,15,20,20,25,0,20,0,115,0,0,0,115,1,13,30,30,N/A,60,30,150,1,7,128,1,16,10,10,5,5,15,45,15,10,0,0,15,40,0,5,0,0,0,5,0,0,0,0,0,0,90,1,14,Not Calculated,,,483,1,17
2016,"A2","Bishop Tyrrell Anglican","City",5,40,,45,7,7,15,0,0,20,,,,,35,0,0,0,35,,,50,50,N/A,10,15,125,,14,116,,20,10,10,5,5,15,45,0,0,0,15,0,15,5,0,0,0,0,5,0,0,0,0,0,0,65,,20,Not Calculated,,,386,,
2016,"A3","Burgmann Anglican School 1","City",20,40,0,60,1,1,15,15,20,0,25,25,,,100,35,0,35,135,,11,30,0,N/A,60,5,95,,,208,3,3,10,10,5,5,15,45,0,0,0,15,15,30,5,5,0,0,0,10,10,15,0,20,0,45,130,8,8,Not Calculated,,,628,8,8
2016,"A4","Chevalier College #2","Country",0,35,0,35,3,11,15,0,20,0,25,0,0,10,70,0,0,0,70,3,,0,10,N/A,60,40,110,2,17,112,2,,0,10,0,5,0,15,0,0,10,0,15,25,5,0,0,0,0,5,,,,,,,45,4,,Not Calculated,,,372,2,
2016,"A5","Canberra Girls Grammar","City",0,30,0,30,10,13,15,15,20,20,25,25,0,10,130,0,35,35,165,6,6,50,50,N/A,40,30,170,2,2,216,2,2,10,10,5,5,15,45,15,10,10,15,0,50,5,,,,,5,0,0,0,0,0,0,100,,12,Not Calculated,,,681,4,4
2016,"A6","Dickson College","City",0,30,0,30,10,13,15,15,20,20,25,0,0,10,105,35,0,35,140,10,10,40,40,N/A,20,45,145,7,8,224,1,1,10,10,5,5,15,45,15,0,10,15,15,55,5,5,20,20,0,50,10,15,0,20,0,45,195,3,3,Not Calculated,,,734,2,2
2016,"A7","Merici College","City",0,30,0,30,10,13,15,15,20,20,25,25,30,30,180,0,0,0,180,2,2,40,50,N/A,20,0,110,,17,132,,13,10,0,5,5,15,35,15,10,10,15,15,65,5,5,20,20,10,60,10,15,15,20,20,80,240,1,1,Not Calculated,,,692,3,3
2016,"A8","Wellington High School","Country",15,30,0,45,1,7,15,15,20,0,25,,,,75,0,0,0,75,2,,0,25,N/A,0,10,35,5,,88,4,,10,10,5,0,15,40,0,0,0,15,0,15,5,0,0,0,0,5,0,0,0,0,0,0,60,3,,Not Calculated,,,303,3,
2016,"B1","Canberra Grammar","City",0,0,0,0,,,15,15,20,20,25,,,10,105,35,35,70,175,3,3,20,20,N/A,20,60,120,,16,192,7,7,10,10,5,5,,30,15,0,10,0,15,40,5,5,20,0,0,30,10,15,0,20,0,45,145,6,6,Not Calculated,,,632,7,7
2016,"B2","Gungahlin College","City",0,30,0,30,10,13,15,15,0,20,0,0,30,10,90,35,35,70,160,8,8,60,30,N/A,20,30,140,8,9,156,8,8,0,10,5,5,15,35,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,50,,,Not Calculated,,,536,,14
2016,"B3","Lake Ginninderra College","City",20,40,0,60,1,1,15,15,20,20,0,25,30,10,135,0,0,0,135,,11,20,20,N/A,60,60,160,4,4,116,,20,10,10,5,5,15,45,15,0,0,0,15,30,5,5,0,0,0,10,,,,,,,85,,15,Not Calculated,,,556,,11
2016,"B4","Marist College Canberra 1","City",0,30,0,30,10,13,15,0,0,20,0,0,30,,65,0,0,0,65,,,20,60,N/A,60,20,160,4,4,140,10,10,10,10,5,5,15,45,15,0,0,15,15,45,5,5,20,0,10,40,10,15,15,0,0,40,170,5,5,Not Calculated,,,565,10,10
2016,"B5","Narrabundah College 1","City",0,40,0,40,8,9,15,15,20,0,0,0,0,10,60,35,0,35,95,,16,40,50,N/A,30,50,170,2,2,136,,11,10,0,5,5,15,35,0,10,0,15,0,25,5,5,0,0,10,20,0,0,0,0,0,0,80,,16,Not Calculated,,,521,,15
2016,"B6","Radford College 2","City",0,15,0,15,,,15,15,20,0,25,0,0,20,95,0,0,0,95,,16,20,30,N/A,10,20,80,,,152,9,9,0,10,5,5,15,35,15,10,0,0,15,40,5,5,20,20,10,60,10,0,0,0,0,10,145,6,6,Not Calculated,,,487,,16
2016,"B7","Sthn Hlands Christian 1","Country",0,20,0,20,4,,0,15,20,0,0,0,0,0,35,0,0,0,35,5,,10,60,N/A,0,20,90,3,,92,3,,10,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,,Not Calculated,,,252,5,
2016,"B8","Burgmann Anglican School 2","City",20,40,0,60,1,1,0,15,0,0,25,,20,,60,0,0,0,60,,,40,0,N/A,50,50,140,8,9,120,,19,0,0,5,5,15,25,0,0,10,0,15,25,5,5,,,,10,0,0,0,0,0,0,60,,,Not Calculated,,,440,,20
2016,"C1","Daramalan College","City",0,5,0,5,,,15,15,0,20,,,,,50,0,0,0,50,,,20,10,N/A,0,40,70,,,100,,,10,0,5,5,15,35,15,10,0,15,15,55,5,5,,,,10,,,,,,,100,,12,Not Calculated,,,325,,
2016,"C2","Hawker College","City",0,30,0,30,10,13,15,15,20,0,25,0,30,10,115,0,0,0,115,,13,40,60,N/A,0,30,130,,13,136,,11,10,10,5,5,15,45,15,10,0,15,15,55,5,5,20,0,0,30,,,,,,,130,8,8,Not Calculated,,,541,,13
2016,"C3","St Clare's College","City",0,25,0,25,,19,15,15,20,20,25,,,,95,0,0,0,95,,16,0,10,N/A,50,40,100,,,112,,,10,0,5,5,15,35,,,,,,,,,,,,,,,,,,,35,,,Not Calculated,,,367,,
2016,"C4","Canberra College","City",15,40,0,55,5,5,15,15,20,20,25,25,30,30,180,0,35,35,215,1,1,20,10,N/A,40,0,70,,,200,4,4,10,0,5,5,15,35,15,10,10,15,15,65,5,5,0,0,0,10,,,,,,,110,,11,Not Calculated,,,650,6,6
2016,"C5","Sthn Hlands Christian 2","Country",0,40,0,40,2,9,15,15,20,,,,,,50,0,0,0,50,4,,40,0,N/A,10,25,75,4,,48,5,,10,0,0,5,15,30,0,0,0,15,15,30,0,5,,,,5,,,,,,,65,2,20,Not Calculated,,,278,4,
2016,"C6","Sydney Tech. High School","City",0,5,0,5,,,15,15,0,20,25,0,30,0,105,35,35,70,175,3,3,40,60,N/A,40,60,200,1,1,128,,16,10,0,5,0,0,15,0,10,0,0,15,25,5,5,0,0,0,10,10,0,0,0,0,10,60,,,Not Calculated,,,568,9,9
2016,"C7","Marist College Canberra 2","City",0,10,0,10,,,0,15,20,20,25,0,0,0,80,0,0,0,80,,20,20,35,N/A,50,35,140,8,9,132,,13,10,0,5,5,15,35,0,10,0,0,15,25,5,5,0,0,0,10,10,0,0,0,0,10,80,,16,Not Calculated,,,442,,19
2016,"D1","Erindale College","City",0,20,0,20,,,15,15,20,20,25,0,0,0,95,0,0,0,95,,16,60,50,N/A,0,0,110,,17,116,,20,0,10,5,5,15,35,15,10,0,0,0,25,,,,,,,,,,,,,60,,,Not Calculated,,,401,,
2016,"D2","Lake Tuggeranong College","City",0,0,0,0,,,15,15,20,0,25,,,,75,0,0,0,75,,,60,0,N/A,0,10,70,,,112,,,10,10,0,5,0,25,15,0,10,0,15,40,5,5,0,0,0,10,,,,,,,75,,18,Not Calculated,,,332,,
2016,"D3","Trinity Christian School","City",0,35,0,35,9,11,15,15,20,20,25,,,10,105,0,0,0,105,,15,40,40,N/A,30,30,140,8,9,128,,16,0,10,0,5,15,30,15,10,0,0,15,40,5,0,0,0,0,5,,,,,,,75,,18,Not Calculated,,,483,,17
