"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2004,"BT","Marist College","City",20,31,8,59,,19,15,15,0,20,25,25,30,30,160,35,21,56,216,1,1,0,60,60,50,60,230,2,2,200,3,3,10,0,0,5,0,15,15,10,10,0,15,50,5,5,0,20,10,40,10,0,15,20,20,65,170,7,11,0.69,3,6,875,1,1
2004,"C1","Merici College","City",30,26,15,71,3,5,5,15,20,20,0,25,0,20,105,35,8,43,148,,15,0,30,20,40,15,105,,,152,,,10,0,5,5,0,20,0,10,10,0,0,20,5,5,0,20,0,30,0,0,0,0,0,0,70,,,-0.83,,,546,,
2004,"C2","Monaro High School","Country",25,6,11,42,9,,15,15,0,0,0,0,15,20,65,35,0,35,100,,,25,60,0,30,20,135,,,112,,,10,0,0,5,0,15,0,0,10,0,15,25,5,5,0,20,10,40,0,0,0,0,0,0,80,,,-0.31,,,469,,
2004,"C3","Moruya High School","Country",29,25,12,66,4,11,0,15,0,20,0,25,0,20,80,23,1,24,104,,,45,45,60,40,25,215,1,3,180,2,7,10,0,5,5,0,20,15,10,10,15,15,65,5,5,20,20,10,60,0,0,15,0,20,35,180,3,9,0.52,6,11,745,1,8
2004,"C4","Mulwaree High School","Country",28,0,5,33,10,,0,15,20,15,0,0,5,10,65,29,8,37,102,,,0,10,35,45,30,120,,,76,,,10,0,5,5,0,20,15,10,10,15,15,65,5,5,0,20,10,40,0,0,15,0,0,15,140,9,,-0.28,,,471,,
2004,"C5","Narooma High School","Country",,,,N/A,,,15,15,20,0,0,0,0,30,80,35,0,35,115,8,,55,0,50,50,20,175,4,12,176,4,9,10,10,0,5,0,25,15,0,10,15,15,55,5,5,20,20,10,60,10,0,0,0,20,30,170,5,11,0.06,10,18,636,7,20
2004,"C6","Narrabundah College","City",27,30,10,67,7,10,15,15,20,20,15,25,0,15,125,35,7,42,167,7,7,30,0,20,50,45,145,,,176,6,9,10,0,5,5,15,35,15,0,10,15,15,55,5,5,20,20,10,60,10,0,0,0,0,10,160,9,15,-0.96,,,715,9,10
2004,"C7","Nowra Tech High School","Country",,,,N/A,,,15,15,0,5,25,0,5,30,95,35,8,43,138,4,18,25,30,0,0,20,75,,,160,7,18,10,0,5,5,0,20,0,10,10,15,15,50,5,5,20,20,10,60,0,15,0,0,0,15,145,8,20,-0.84,,,518,,
2004,"C8","Queanbeyan High School","Country",,,,N/A,,,15,0,0,5,0,0,0,20,40,35,0,35,75,,,50,0,0,0,30,80,,,72,,,10,0,5,5,15,35,15,0,10,15,15,55,5,5,20,0,10,40,0,0,0,0,0,0,130,,,-1.49,,,357,,
2004,"C9","Radford College","City",25,27,6,58,,20,15,15,20,20,20,25,0,15,130,35,22,57,187,3,3,60,10,40,30,60,200,3,4,204,2,2,10,10,5,5,15,45,15,0,10,15,15,55,5,5,20,20,10,60,10,0,0,0,20,30,190,6,6,0.01,9,20,839,2,2
2004,"D1","St Clare's College","City",30,25,9,64,10,14,15,15,0,0,0,25,10,15,80,0,22,22,102,,,45,15,10,30,55,155,10,14,140,,,10,0,5,5,0,20,15,10,0,15,15,55,5,0,20,20,10,55,0,15,0,0,0,15,145,,20,0.46,6,12,606,,
2004,"D2","St Edmund's College","City",29,20,9,58,,20,15,15,20,20,25,5,0,30,130,35,1,36,166,8,8,0,20,0,10,40,70,,,152,,,10,0,5,5,0,20,0,10,0,15,15,40,5,5,20,20,10,60,0,0,0,0,20,20,140,,,0.11,8,16,586,,
2004,"D3","Snowy Mountains Grammar","Country",,,,N/A,,,15,15,0,0,20,0,10,20,80,35,0,35,115,8,,15,15,0,40,10,80,,,152,10,,10,0,5,5,15,35,15,0,0,15,0,30,5,5,0,20,0,30,0,15,0,0,0,15,110,,,-0.49,,,457,,
2004,"D4","Sydney Tech. High School","City",28,26,14,68,6,9,15,15,20,0,0,0,30,30,110,29,8,37,147,,16,20,60,40,60,0,180,8,10,200,3,3,10,0,5,5,0,20,15,10,10,15,15,65,5,5,0,20,10,40,10,0,15,0,20,45,170,7,11,-0.45,,,765,7,7
2004,"D5","Canberra College Woden","City",28,27,10,65,8,12,15,15,0,10,0,0,0,30,70,35,0,35,105,,,60,60,20,20,35,195,4,6,172,8,12,10,10,5,5,0,30,15,10,0,15,15,55,5,5,20,20,10,60,0,0,15,0,0,15,160,9,15,-0.20,,,697,,14
2004,"D6","Trinity Catholic College","Country",32,29,10,71,3,5,5,10,0,20,0,0,5,30,70,32,8,40,110,10,,5,50,60,10,25,150,6,16,160,7,18,10,10,0,5,15,40,0,10,10,15,15,50,5,5,0,20,10,40,0,0,15,20,20,55,185,1,7,1.28,2,3,676,4,17
2004,"D7","Wagga Wagga T H","Country",29,32,14,75,2,4,15,15,20,20,25,5,10,15,125,35,0,35,160,1,10,0,40,50,30,30,150,6,16,160,7,18,10,0,5,5,0,20,15,10,10,15,0,50,5,5,20,20,10,60,0,15,0,20,0,35,165,6,14,1.26,3,4,710,2,12
2004,"D8","Yass High School","Country",,,,N/A,,,0,15,20,5,25,5,0,20,90,17,0,17,107,,,45,0,50,50,35,180,3,10,132,,,0,0,5,5,0,10,15,0,10,0,15,40,5,5,0,0,0,10,0,0,15,0,0,15,75,,,-0.50,,,494,,
2004,"D9","Young Tech High School","Country",,,,N/A,,,15,15,20,5,15,0,0,15,85,35,1,36,121,7,,15,35,60,10,25,145,9,,116,,,0,0,5,5,15,25,0,10,10,15,15,50,5,5,20,20,10,60,0,0,15,0,0,15,150,7,18,0.55,5,10,532,,
