"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2015,"A1","Burgmann Anglican School","City",,,,N/A,,,,,,,,,,,35,0,0,0,35,,,60,60,45,20,60,245,1,1,188,,15,0,0,5,5,15,25,0,10,0,15,0,25,5,5,0,0,10,20,10,0,0,0,0,10,80,,13,Not Calculated,,,548,8,8
2015,"A2","Canberra Girls Grammar","City",,,,N/A,,,,,,,,,,,90,0,0,0,90,9,10,0,50,50,50,60,210,5,5,224,4,4,10,10,5,0,15,40,0,10,0,15,0,25,5,5,20,0,0,30,0,0,0,0,0,0,95,7,8,Not Calculated,,,619,6,6
2015,"A3","Chevalier College #2","Country",,,,N/A,,,,,,,,,,,30,0,0,0,30,5,,40,0,5,0,25,70,7,,140,4,,0,0,5,0,0,5,0,10,0,15,0,25,5,0,20,0,0,25,,,,,,,55,5,,Not Calculated,,,295,7,
2015,"A4","Canberra Girls Grammar #2","City",,,,N/A,,,,,,,,,,,75,0,0,0,75,,14,0,50,20,40,15,125,,,208,10,10,10,0,5,0,15,30,0,10,0,15,0,25,5,0,20,0,0,25,0,0,0,0,0,0,80,,13,Not Calculated,,,488,,15
2015,"A5","Monaro High School","Country",,,,N/A,,,,,,,,,,,40,0,0,0,40,4,,0,20,30,60,0,110,5,,128,5,,0,0,5,0,15,20,0,10,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0,35,6,,Not Calculated,,,313,6,
2015,"A6","Daramalan College","City",,,,N/A,,,,,,,,,,,45,35,0,35,80,,13,40,60,60,20,0,180,8,8,184,,16,10,0,5,5,15,35,0,10,10,15,0,35,5,0,20,0,0,25,0,0,0,0,0,0,95,7,8,Not Calculated,,,539,9,9
2015,"A7","Canberra Grammar","City",,,,N/A,,,,,,,,,,,140,35,0,35,175,3,3,10,10,50,40,60,170,10,10,220,6,6,10,0,5,5,15,35,15,10,10,15,0,50,5,0,20,20,0,45,10,0,0,0,0,10,140,3,3,Not Calculated,,,705,2,2
2015,"A8","Chevalier College","Country",,,,N/A,,,,,,,,,,,25,20,0,20,45,2,,20,20,30,20,45,135,4,,164,2,,0,0,5,0,15,20,0,10,10,0,0,20,0,0,0,0,0,0,0,15,15,0,0,30,70,2,16,Not Calculated,,,414,3,
2015,"B1","Daramalan College 2","City",,,,N/A,,,,,,,,,,,90,0,0,0,90,9,10,40,50,50,40,0,180,8,8,200,,12,10,0,5,5,15,35,0,10,0,15,0,25,5,0,20,0,0,25,10,15,0,20,0,45,130,4,4,Not Calculated,,,600,7,7
2015,"B2","Erindale College","City",,,,N/A,,,,,,,,,,,20,15,0,15,35,,,40,40,55,50,0,185,7,7,168,,19,0,0,5,5,15,25,0,10,10,15,0,35,0,0,0,0,0,0,10,0,0,0,0,10,70,,16,Not Calculated,,,458,,20
2015,"B3","Dickson College","City",,,,N/A,,,,,,,,,,,105,20,0,20,125,5,5,30,20,30,40,40,160,,13,212,9,9,10,10,5,5,15,45,15,10,10,15,0,50,5,5,20,20,0,50,10,15,15,0,0,40,185,1,1,Not Calculated,,,682,4,4
2015,"B4","Hawker College","City",,,,N/A,,,,,,,,,,,65,35,0,35,100,7,7,0,10,55,20,0,85,,,228,2,2,0,10,5,0,15,30,0,10,10,0,0,20,5,5,0,0,0,10,0,15,0,0,0,15,75,,15,Not Calculated,,,488,,15
2015,"B5","Gungahlin College","City",,,,N/A,,,,,,,,,,,20,0,0,0,20,,,60,40,40,20,60,220,2,2,124,,,10,0,5,0,0,15,0,10,0,15,0,25,5,0,20,0,0,25,,,,,,,65,,20,Not Calculated,,,429,,
2015,"B6","Dickson College #2","City",,,,N/A,,,,,,,,,,,25,20,0,20,45,,,40,40,10,20,40,150,,17,220,6,6,10,0,5,0,15,30,0,10,10,15,0,35,5,0,0,0,0,5,0,0,0,0,0,0,70,,16,Not Calculated,,,485,,17
2015,"B7","Canberra Grammar 2","City",,,,N/A,,,,,,,,,,,50,20,0,20,70,,16,0,30,55,40,45,170,10,10,184,,16,10,0,5,0,15,30,15,0,0,15,0,30,5,0,20,0,0,25,10,0,0,0,0,10,95,7,8,Not Calculated,,,519,10,10
2015,"B8","Lake Tuggeranong College","City",,,,N/A,,,,,,,,,,,45,0,0,0,45,,,20,0,30,60,30,140,,19,172,,18,10,10,5,0,15,40,0,0,0,15,0,15,5,0,20,0,0,25,10,15,15,0,0,40,120,6,6,Not Calculated,,,477,,18
2015,"C1","Marist College Canberra 1","City",,,,N/A,,,,,,,,,,,130,20,35,55,185,2,2,30,50,0,50,60,190,6,6,208,10,10,0,10,5,5,15,35,15,10,10,0,0,35,5,0,0,0,0,5,10,0,0,0,0,10,85,,12,Not Calculated,,,668,5,5
2015,"C2","Marist College Canberra 2","City",,,,N/A,,,,,,,,,,,40,15,0,15,55,,19,0,40,20,40,50,150,,17,128,,,10,0,5,0,15,30,0,10,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0,45,,,Not Calculated,,,378,,
2015,"C3","Merici College","City",,,,N/A,,,,,,,,,,,105,35,0,35,140,4,4,60,10,10,0,40,120,,,192,,14,0,0,5,5,0,10,0,10,10,0,0,20,0,0,20,0,0,20,0,0,0,0,0,0,50,,,Not Calculated,,,502,,13
2015,"C4","Moruya High School","Country",,,,N/A,,,,,,,,,,,45,0,0,0,45,2,,20,10,30,40,10,110,5,,164,2,,10,0,5,5,15,35,0,10,10,15,0,35,5,0,20,0,0,25,10,0,0,0,0,10,105,1,7,Not Calculated,,,424,2,
2015,"C5","Narrabundah College","City",,,,N/A,,,,,,,,,,,90,0,0,0,90,9,10,20,10,5,40,20,95,,,228,2,2,0,10,5,0,15,30,0,10,10,15,0,35,5,5,20,0,0,30,0,0,0,0,0,0,95,7,8,Not Calculated,,,508,,11
2015,"C6","Radford College","City",,,,N/A,,,,,,,,,,,75,20,0,20,95,8,8,60,40,60,10,50,220,2,2,224,4,4,0,0,5,5,15,25,15,10,10,15,0,50,5,0,20,0,0,25,10,15,0,20,0,45,145,2,2,Not Calculated,,,684,3,3
2015,"C7","Sthn Hlands Christian School","Country",,,,N/A,,,,,,,,,,,45,15,35,50,95,1,8,40,50,10,20,20,140,3,19,200,1,12,0,0,0,0,0,0,15,10,10,0,0,35,5,0,0,20,0,25,0,0,0,0,0,0,60,3,,Not Calculated,,,495,1,14
2015,"C8","St Clare's College","City",,,,N/A,,,,,,,,,,,35,35,0,35,70,,16,20,20,15,10,15,80,,,84,,,0,0,5,0,15,20,0,10,10,15,0,35,5,0,0,0,0,5,,,,,,,60,,,Not Calculated,,,294,,
2015,"D1","St Edmund's College","City",,,,N/A,,,,,,,,,,,50,20,0,20,70,,16,0,0,30,20,30,80,,,152,,,10,0,5,0,15,30,0,10,0,15,0,25,5,0,0,0,0,5,0,0,0,0,0,0,60,,,Not Calculated,,,362,,
2015,"D2","Sydney Tech. High School","City",,,,N/A,,,,,,,,,,,105,0,0,0,105,6,6,60,20,30,40,20,170,10,10,168,,19,10,10,5,0,0,25,0,10,0,15,0,25,5,0,0,0,10,15,0,0,0,0,0,0,65,,20,Not Calculated,,,508,,11
2015,"D3","Canberra College","City",,,,N/A,,,,,,,,,,,160,35,35,70,230,1,1,50,40,60,60,10,220,2,2,236,1,1,0,10,5,5,15,35,15,10,0,15,0,40,5,0,20,20,10,55,0,0,0,0,0,0,130,4,4,Not Calculated,,,816,1,1
2015,"D4","Illawarra Grammar School","City",,,,N/A,,,,,,,,,,,60,15,0,15,75,,14,60,60,0,20,0,140,,19,148,,,0,10,0,5,15,30,15,10,0,15,0,40,0,0,0,0,0,0,0,0,0,0,0,0,70,,16,Not Calculated,,,433,,
2015,"D5","Trinity Christian School","City",,,,N/A,,,,,,,,,,,50,0,0,0,50,,20,60,30,0,10,60,160,,13,220,6,6,0,0,0,5,15,20,15,0,0,0,0,15,5,0,0,0,0,5,0,0,0,0,0,0,40,,,Not Calculated,,,470,,19
2015,"D6","UC Senior Secondary College","City",,,,N/A,,,,,,,,,,,20,0,0,0,20,,,10,0,30,0,35,75,,,156,,,10,0,0,0,15,25,15,10,0,0,0,25,5,0,0,0,0,5,,,,,,,55,,,Not Calculated,,,306,,
2015,"D7","Yass High School","Country",,,,N/A,,,,,,,,,,,20,0,0,0,20,6,,20,60,40,40,0,160,1,13,100,7,,10,0,5,0,15,30,0,10,0,15,0,25,5,0,0,0,0,5,,,,,,,60,3,,Not Calculated,,,340,4,
2015,"D8","Young High School","Country",,,,N/A,,,,,,,,,,,20,0,0,0,20,6,,50,20,5,20,60,155,2,16,104,6,,0,10,5,0,0,15,0,10,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,35,6,,Not Calculated,,,314,5,
