"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2014,"A1","Erindale College","City",,,,N/A,,,0,0,20,0,0,25,0,30,75,0,35,35,110,,13,30,10,60,30,10,140,,18,96,,,0,10,0,5,15,30,0,0,10,0,15,25,0,5,0,0,0,5,0,0,0,0,0,0,60,,,-0.35,,,406,,
2014,"A2","Moss Vale High School","Country",,,,N/A,,,0,0,0,0,0,25,0,30,55,35,0,35,90,4,,20,35,0,40,0,95,9,,72,9,,0,10,5,5,0,20,0,0,0,15,15,30,5,5,0,20,0,30,0,0,0,0,0,0,80,6,,-0.67,10,,337,9,
2014,"A3","Lake Tuggeranong College","City",,,,N/A,,,15,15,20,0,25,25,0,0,100,0,0,0,100,,19,45,30,20,15,0,110,,,88,,,0,10,0,5,0,15,15,0,0,15,0,30,5,0,20,20,0,45,0,0,0,0,0,0,90,,19,-0.56,,,388,,
2014,"A4","St Frances Xavier College","City",,,,N/A,,,15,0,20,0,0,0,0,30,65,0,0,0,65,,,0,55,10,10,60,135,,,136,,12,0,10,0,5,0,15,0,0,10,15,15,40,5,5,20,20,0,50,0,0,15,0,0,15,120,9,13,-0.44,,,456,,20
2014,"A5","Illawarra Grammar School","City",,,,N/A,,,15,15,20,0,0,25,0,30,105,0,0,0,105,,15,40,0,0,20,60,120,,,136,,12,0,0,5,5,0,10,0,10,0,15,0,25,5,5,0,0,0,10,0,0,0,0,0,0,45,,,0.06,,17,406,,
2014,"A6","St Clare's College","City",,,,N/A,,,15,0,20,0,0,25,0,30,90,0,0,0,90,,,0,10,40,35,0,85,,,52,,,0,0,5,5,0,10,0,0,0,0,0,0,5,5,20,0,0,30,0,0,0,0,0,0,40,,,-1.80,,,267,,
2014,"A7","Sthn Hlands Christian School","Country",,,,N/A,,,15,15,20,0,0,25,0,0,75,0,0,0,75,8,,20,40,30,50,60,200,1,4,108,4,,0,10,0,5,15,30,15,0,0,15,15,45,5,5,0,0,0,10,0,0,0,0,0,0,85,5,20,0.45,5,10,468,4,16
2014,"A8","Bega High School","Country",,,,N/A,,,15,0,0,0,25,25,0,30,95,0,0,0,95,3,,40,30,0,0,45,115,5,,120,1,16,0,10,5,5,15,35,15,10,10,15,15,65,5,5,20,0,0,30,0,0,0,0,0,0,130,3,11,-0.43,8,,460,5,19
2014,"A9","Hawker College","City",,,,N/A,,,0,0,20,20,0,25,0,0,65,35,0,35,100,,19,60,20,20,30,30,160,,15,116,,18,0,10,0,5,15,30,0,0,10,15,0,25,5,5,20,0,0,30,0,0,0,0,0,0,85,,20,-0.19,,,461,,18
2014,"B1","UC Lake Ginninderra College","City",,,,N/A,,,0,0,0,0,0,25,0,0,25,0,0,0,25,,,30,20,50,25,30,155,,17,124,,15,0,10,0,5,0,15,0,10,10,0,0,20,5,5,20,20,0,50,0,0,0,0,0,0,85,,20,-0.13,,20,389,,
2014,"B2","Gungahlin College","City",,,,N/A,,,15,0,20,0,0,25,0,0,60,0,0,0,60,,,40,10,60,55,0,165,8,12,116,,18,0,10,0,5,0,15,0,0,0,15,15,30,5,5,20,0,0,30,,,,,,,75,,,-1.66,,,416,,
2014,"B3","Canberra Girls Grammar","City",,,,N/A,,,15,15,20,0,0,25,30,0,105,0,0,0,105,,15,20,60,60,30,20,190,4,6,148,,11,0,10,5,5,0,20,15,0,10,15,15,55,5,5,20,20,0,50,0,0,15,0,0,15,140,6,6,0.06,,18,583,9,10
2014,"B4","Chevalier College","Country",,,,N/A,,,15,15,20,0,0,25,0,30,105,35,0,35,140,2,8,50,60,10,20,50,190,3,6,120,1,16,10,0,5,5,15,35,0,10,10,15,15,50,5,5,20,20,0,50,0,0,0,0,0,0,135,1,7,0.94,3,5,585,1,9
2014,"B5","The Mixed Bag","City",,,,N/A,,,0,15,20,0,25,25,0,0,85,35,0,35,120,10,12,30,40,10,25,60,165,8,12,100,,,0,0,5,5,15,25,15,10,10,0,15,50,0,5,0,0,0,5,0,0,0,0,0,0,80,,,-0.41,,,465,,17
2014,"B6","Merici College","City",,,,N/A,,,0,0,20,0,0,25,0,0,45,0,0,0,45,,,30,25,50,5,25,135,,,88,,,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,10,,,-0.76,,,278,,
2014,"B7","Narrabundah College","City",,,,N/A,,,15,15,20,0,25,25,30,30,160,35,35,70,230,1,1,30,60,50,30,40,210,3,3,164,10,10,10,10,5,5,15,45,0,10,10,15,15,50,5,5,20,0,10,40,0,0,0,0,0,0,135,7,7,0.15,10,15,739,3,3
2014,"B8","Melba Copland Secondary School","City",,,,N/A,,,15,15,20,0,0,25,30,0,105,0,0,0,105,,15,10,0,20,50,60,140,,18,104,,,0,10,0,5,0,15,15,0,10,0,15,40,5,5,0,0,0,10,0,0,0,0,0,0,65,,,0.30,7,12,414,,
2014,"B9","Chevalier College #2","Country",,,,N/A,,,0,15,20,0,0,25,0,30,90,0,0,0,90,4,,60,55,50,10,20,195,2,5,84,8,,0,10,0,0,15,25,0,0,10,0,0,10,5,5,20,0,0,30,0,0,0,0,0,0,65,8,,-0.40,7,,434,6,
2014,"C1","Radford College","City",,,,N/A,,,15,15,20,20,25,25,0,30,150,35,0,35,185,3,3,0,60,60,50,20,190,4,6,172,8,8,10,10,5,5,15,45,0,10,10,15,0,35,5,5,20,20,10,60,0,15,0,0,0,15,155,5,5,0.61,5,9,702,5,5
2014,"C2","Burgmann Anglican School","City",,,,N/A,,,0,15,20,0,0,25,0,30,90,35,0,35,125,7,9,60,20,0,0,30,110,,,132,,14,10,10,0,5,15,40,0,10,10,15,0,35,5,5,20,0,0,30,0,0,0,0,0,0,105,,16,-0.53,,,472,,15
2014,"C3","Canberra College","City",,,,N/A,,,0,15,20,20,25,25,30,30,165,0,0,0,165,5,5,10,40,30,50,40,170,7,11,228,1,1,0,10,5,5,15,35,0,10,10,0,15,35,5,5,20,20,10,60,10,15,15,0,0,40,170,3,3,0.62,4,8,733,4,4
2014,"C4","Sydney Tech. High School","City",,,,N/A,,,15,15,20,20,25,25,30,30,180,35,0,35,215,2,2,50,0,30,40,40,160,,15,192,4,4,0,10,5,5,0,20,15,0,10,15,15,55,5,5,20,20,10,60,10,15,0,20,0,45,180,2,2,0.37,6,11,747,2,2
2014,"C5","Daramalan College","City",,,,N/A,,,15,15,20,20,0,25,0,0,95,0,0,0,95,,,20,60,60,45,50,235,1,1,212,3,3,10,0,0,5,15,30,15,10,10,0,0,35,5,5,0,20,0,30,0,15,0,0,0,15,110,,15,0.28,8,13,652,6,6
