"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
1994,"C6","PLC                           ","City      ",32,30,15,77,8,13,,,,,,,,,70,3,10,13,83,17,24,50,15,35,10,40,150,13,20,144,11,15,,,,,,35,,,,,,50,,,,,,60,,,,,,0,145,6,7,0.06,9,18,599,13,14,
1994,"C7","Queanbeyan High School        ","Country   ",22,24,20,66,7,22,,,,,,,,,105,35,5,40,145,1,9,0,40,30,20,20,110,15,33,140,5,18,,,,,,25,,,,,,40,,,,,,50,,,,,,15,130,2,11,1.20,2,3,591,2,16,
1994,"C8","Radford College               ","City      ",28,34,17,79,7,10,,,,,,,,,100,7,0,7,107,13,17,10,45,20,40,55,170,8,10,144,11,15,,,,,,45,,,,,,65,,,,,,40,,,,,,10,160,5,6,0.48,6,11,660,9,10,
1994,"C9","Shoalhaven High School        ","Country   ",,,,N/A,,,,,,,,,,,50,7,0,7,57,16,36,15,35,60,20,20,150,8,20,156,4,12,,,,,,30,,,,,,15,,,,,,40,,,,,,0,85,8,24,-0.31,13,26,448,11,28,
1994,"CT","St Clare's College            ","City      ",28,0,0,28,17,26,,,,,,,,,80,7,0,7,87,16,23,10,30,0,30,40,110,19,33,84,19,35,,,,,,30,,,,,,20,,,,,,30,,,,,,0,80,17,26,-0.63,17,32,389,20,33,
1994,"D1","St Edmund's College           ","City      ",,,,N/A,,,15,15,15,20,25,0,0,0,90,3,0,3,93,15,22,30,45,10,60,40,185,4,4,136,15,21,,,,,,15,,,,,,10,,,,,,30,,,,,,0,55,19,35,-0.31,13,25,469,17,27,
1994,"D2","St Peters College             ","City      ",23,20,11,54,16,25,15,15,0,20,0,0,0,0,50,7,1,8,58,20,35,30,40,40,40,0,150,13,20,80,20,36,,,,,,30,,,,,,25,,,,,,40,,,,,,0,95,14,17,-0.83,19,37,437,19,31,
1994,"D3","Stirling College              ","City      ",,,,N/A,,,15,15,10,20,0,25,30,0,115,9,20,29,144,9,10,10,35,40,60,0,145,18,26,112,17,29,,,,,,35,,,,,,50,,,,,,40,,,,,,0,125,11,14,-0.70,18,34,526,16,22,
1994,"D4","Sydney Tech. High School      ","City      ",33,32,6,71,13,18,15,15,15,20,25,25,30,30,175,35,15,50,225,1,1,60,45,30,30,0,165,9,12,212,3,3,,,,,,35,,,,,,50,,,,,,60,,,,,,25,170,3,3,0.82,3,5,843,2,2,
1994,"D5","Ulladulla High School         ","Country   ",,,,N/A,,,15,15,0,20,0,0,0,0,50,7,0,7,57,16,36,45,35,0,60,5,145,9,26,68,18,38,,,,,,30,,,,,,15,,,,,,30,,,,,,0,75,12,29,-0.63,15,31,345,17,37,
1994,"D6","Wagga Wagga T H               ","Country   ",,,,N/A,,,0,15,0,20,25,0,0,0,60,7,0,7,67,12,31,20,40,60,0,55,175,1,7,104,14,31,,,,,,15,,,,,,40,,,,,,30,,,,,,10,95,4,17,-0.83,18,36,441,12,30,
1994,"D7","Wellington High School        ","Country   ",,,,N/A,,,0,15,0,20,0,0,0,0,35,3,1,4,39,18,38,40,5,45,0,0,90,18,37,128,10,26,,,,,,5,,,,,,15,,,,,,30,,,,,,0,50,18,37,-0.71,17,35,307,19,39,
1994,"D8","Yanco Ag High School          ","Country   ",,,,N/A,,,,,,,,,,,90,6,15,21,111,4,15,55,0,30,30,60,175,1,7,176,2,9,,,,,,20,,,,,,25,,,,,,30,,,,,,0,75,12,29,0.62,4,9,537,6,20,
1994,"D9","Yass High School              ","Country   ",,,,N/A,,,15,15,0,20,0,0,0,0,50,6,10,16,66,13,32,25,20,0,50,60,155,6,18,72,17,37,,,,,,30,,,,,,15,,,,,,10,,,,,,0,55,17,35,0.20,8,16,348,16,36,
1994,"DT","Young Tech High School        ","Country   ",,,,N/A,,,15,15,15,20,0,0,0,0,65,7,0,7,72,9,27,40,20,20,20,60,160,5,17,112,13,29,,,,,,10,,,,,,30,,,,,,50,,,,,,0,90,7,22,0.39,6,13,434,13,32,
