"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
1994,"A1","Batemans Bay High School      ","Country   ",26,28,14,68,6,21,0,15,0,0,25,0,0,0,40,20,0,20,60,15,34,20,45,15,40,20,140,10,28,164,3,11,,,,,,20,,,,,,15,,,,,,50,,,,,,0,85,8,24,0.33,7,14,517,7,23,
1994,"A2","Bega High School              ","Country   ",36,34,17,87,1,1,15,15,15,20,0,25,0,0,90,7,0,7,97,7,21,50,30,30,0,55,165,4,12,200,1,5,,,,,,25,,,,,,50,,,,,,40,,,,,,15,130,2,11,1.28,1,2,679,1,9,
1994,"A3","Bowral High School            ","Country   ",,,,N/A,,,15,15,15,20,25,0,30,0,120,7,0,7,127,3,14,0,15,25,30,40,110,15,33,140,5,18,,,,,,35,,,,,,55,,,,,,50,,,,,,30,170,1,3,0.14,9,17,547,3,17,
1994,"A4","Braidwood Central             ","Country   ",,,,N/A,,,15,15,0,20,0,0,0,0,50,15,0,15,65,14,33,35,20,25,30,0,110,15,33,96,15,32,,,,,,35,,,,,,30,,,,,,30,,,,,,0,95,4,17,-0.04,12,21,366,15,35,
1994,"A5","Canberra Girls Grammar        ","City      ",30,27,13,70,15,20,0,0,0,20,0,25,0,0,45,10,15,25,70,19,30,30,35,10,30,60,165,9,12,96,18,32,,,,,,25,,,,,,10,,,,,,10,,,,,,0,45,20,38,-0.96,20,39,446,18,29,
1994,"A6","Canberra Grammar              ","City      ",30,37,18,85,3,4,15,15,20,20,25,25,30,30,180,20,17,37,217,2,2,0,60,10,50,30,150,13,20,232,1,1,,,,,,20,,,,,,55,,,,,,60,,,,,,45,180,2,2,-0.08,11,23,864,1,1,
1994,"A7","Chevalier College             ","Country   ",32,31,15,78,4,11,15,15,0,20,25,25,30,0,130,7,0,7,137,2,12,0,0,60,45,20,125,12,30,124,12,28,,,,,,25,,,,,,15,,,,,,40,,,,,,0,80,10,26,-0.03,11,20,544,5,19,
1994,"A8","Cootamundra High School       ","Country   ",33,30,15,78,4,11,0,15,15,20,20,25,0,0,95,5,0,5,100,5,18,30,25,10,30,30,125,12,30,88,16,34,,,,,,30,,,,,,25,,,,,,30,,,,,,10,95,4,17,-0.66,16,33,486,9,25,
1994,"A9","Copland College               ","City      ",,,,N/A,,,15,15,20,20,20,15,0,0,105,35,0,35,140,10,11,60,25,50,60,60,255,1,1,192,5,6,,,,,,20,,,,,,50,,,,,,40,,,,,,25,135,9,10,1.56,1,1,722,7,7,
1994,"AT","Daramalan College             ","City      ",33,27,13,73,12,17,15,15,15,20,0,25,30,0,120,30,0,30,150,7,7,60,30,0,60,15,165,9,12,144,11,15,,,,,,5,,,,,,50,,,,,,40,,,,,,0,95,14,17,-0.55,15,29,627,10,11,
1994,"B1","Dickson College               ","City      ",37,29,14,80,5,8,0,15,10,20,0,25,30,0,100,10,0,10,110,12,16,50,60,10,0,30,150,13,20,184,7,8,,,,,,20,,,,,,15,,,,,,40,,,,,,15,90,16,22,-0.29,12,24,614,11,12,
1994,"B2","Erindale College              ","City      ",32,32,16,80,5,8,,,,,,,,,130,30,0,30,160,6,6,40,0,30,15,5,90,20,37,148,10,14,,,,,,30,,,,,,50,,,,,,35,,,,,,0,115,12,15,-0.57,16,30,593,14,15,
1994,"B3","Hawker College                ","City      ",32,30,14,76,10,15,15,15,0,20,0,25,0,0,75,25,0,25,100,14,18,60,60,10,40,25,195,3,3,132,16,23,,,,,,20,,,,,,35,,,,,,40,,,,,,10,105,13,16,-0.05,10,22,608,12,13,
1994,"B4","Karabar High School           ","Country   ",,,,N/A,,,,,,,,,,,30,5,0,5,35,19,39,25,15,15,10,0,65,19,39,132,8,23,,,,,,10,,,,,,30,,,,,,25,,,,,,15,80,10,26,-0.84,19,38,312,18,38,
1994,"B5","Lake Ginninderra College      ","City      ",33,29,13,75,11,16,,,,,,,,,150,15,1,16,166,5,5,50,15,50,50,45,210,2,2,156,9,12,,,,,,45,,,,,,40,,,,,,55,,,,,,30,170,3,3,-0.37,14,27,777,5,5,
1994,"B6","Lake Tuggeranong College      ","City      ",38,32,16,86,1,2,,,,,,,,,125,7,0,7,132,11,13,60,30,30,10,35,165,9,12,188,6,7,,,,,,35,,,,,,55,,,,,,40,,,,,,10,140,7,8,0.26,8,15,711,8,8,
1994,"B7","Leeton High School            ","Country   ",30,24,12,66,7,22,0,15,15,20,25,0,0,0,75,7,0,7,82,8,25,0,25,45,55,30,155,6,18,132,8,23,,,,,,20,,,,,,15,,,,,,10,,,,,,0,45,19,38,0.54,5,10,480,10,26,
1994,"B8","Marian College                ","Country   ",26,23,10,59,9,24,15,15,0,20,0,0,0,0,50,7,15,22,72,9,27,35,30,20,30,0,115,14,32,56,19,39,,,,,,5,,,,,,30,,,,,,30,,,,,,0,65,15,32,-0.54,14,28,367,14,34,
1994,"B9","Marist College                ","City      ",32,27,12,71,13,18,15,15,15,20,25,25,30,0,145,24,15,39,184,4,4,10,60,50,30,30,180,6,6,168,8,10,,,,,,40,,,,,,15,,,,,,60,,,,,,25,140,7,8,0.79,4,6,743,6,6,
1994,"BT","Merici College                ","City      ",34,29,14,77,8,13,15,15,0,20,25,0,0,0,75,3,0,3,78,18,26,60,30,50,0,35,175,7,7,140,14,18,,,,,,30,,,,,,25,,,,,,10,,,,,,0,65,18,32,0.45,7,12,535,15,21,
1994,"C1","Monaro High School            ","Country   ",37,31,15,83,2,5,,,,,,,,,75,24,0,24,99,6,20,0,55,40,50,25,170,3,10,128,10,26,,,,,,5,,,,,,25,,,,,,35,,,,,,0,65,15,32,0.03,10,19,545,4,18,
1994,"C2","Moruya High School            ","Country   ",37,31,14,82,3,6,,,,,,,,,65,7,0,7,72,9,27,10,25,35,5,60,135,11,29,136,7,21,,,,,,30,,,,,,15,,,,,,30,,,,,,0,75,12,29,0.77,3,8,500,8,24,
1994,"C3","Narrabundah College           ","City      ",28,36,17,81,4,7,15,15,0,20,25,0,30,0,105,30,15,45,150,7,7,50,0,50,20,30,150,13,20,208,4,4,,,,,,35,,,,,,50,,,,,,60,,,,,,50,195,1,1,0.77,5,7,784,4,4,
1994,"C4","Not Known                     ","Substitute",,,,N/A,,,,,,,,,,,90,7,5,12,102,,,5,25,50,30,5,115,,,100,,,,,,,,20,,,,,,30,,,,,,50,,,,,,0,100,,,1.11,,,417,,,
1994,"C5","Phillip College               ","City      ",39,32,15,86,1,2,,,,,,,,,145,35,17,52,197,3,3,20,35,60,10,60,185,4,4,216,2,2,,,,,,30,,,,,,50,,,,,,40,,,,,,10,130,10,11,1.04,2,4,814,3,3,
