"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
1999,"A1","Bega High School","Country",33,22,17,72,2,9,0,0,20,0,0,15,10,7,52,12,10,22,74,,,50,15,25,55,35,180,3,8,120,,,0,10,0,5,15,30,0,0,10,15,15,40,5,5,20,0,0,30,,,,,,,100,5,18,-0.17,10,,546,6,19,
1999,"A2","Bowral High School","Country",19,17,13,49,6,20,15,15,5,20,12,25,10,30,132,5,11,16,148,1,5,45,55,35,20,50,205,1,2,224,1,3,10,0,5,5,15,35,15,0,10,15,15,55,5,5,20,0,0,30,0,0,0,0,0,0,120,2,11,1.82,1,2,746,1,3,
1999,"A3","Braidwood Central","Country",,,,N/A,,,15,0,20,20,0,5,0,0,60,4,4,8,68,,,40,45,15,50,45,195,2,5,144,9,,0,0,0,5,0,5,15,0,0,15,0,30,0,0,0,0,0,0,0,0,0,0,0,0,35,,,-0.09,9,19,442,,,
1999,"A4","Canberra College Weston","City",30,34,15,79,3,3,15,0,20,20,25,15,0,0,95,5,0,5,100,,,20,25,40,40,55,180,6,8,144,,,0,10,0,5,10,25,15,0,10,15,15,55,0,5,20,0,0,25,0,0,0,0,0,0,105,,17,-0.05,10,16,608,,16,
1999,"A5","Canberra College Woden","City",34,32,11,77,5,5,15,0,20,20,25,25,18,7,130,5,10,15,145,7,8,15,0,45,10,10,80,,,216,3,4,10,10,0,5,15,40,15,10,10,15,15,65,5,5,0,0,10,20,0,0,0,0,0,0,125,8,8,-0.64,,,643,9,10,
1999,"A6","Canberra Girls Grammar","City",24,14,13,51,,18,0,0,20,20,12,10,0,14,76,10,9,19,95,,,30,40,0,45,25,140,,17,132,,,0,10,5,5,15,35,15,0,10,0,15,40,5,0,20,0,0,25,,,,,,,100,,18,-0.62,,,518,,,
1999,"A7","Canberra Grammar","City",17,18,7,42,,,15,15,20,20,25,15,0,0,110,5,24,29,139,9,12,60,40,0,40,50,190,5,7,180,9,11,10,0,5,5,0,20,15,0,10,15,0,40,0,5,0,0,0,5,0,15,0,0,0,15,80,,,-0.41,,,631,,13,
1999,"A8","Chevalier College","Country",23,34,10,67,3,11,15,15,20,20,12,10,18,0,110,15,17,32,142,3,10,0,55,25,20,15,115,,,200,2,9,0,10,5,5,15,35,0,0,10,15,15,40,0,5,20,0,0,25,10,0,0,0,0,10,110,4,13,0.63,2,6,634,2,12,
1999,"A9","Copland College","City",27,34,11,72,8,9,15,15,20,20,25,25,18,24,162,5,30,35,197,1,1,50,30,25,40,50,195,4,5,228,2,2,10,10,0,5,15,40,15,10,10,15,15,65,5,5,0,0,10,20,0,15,15,20,0,50,175,1,1,1.85,1,1,867,1,1,
1999,"B1","Daramalan College","City",26,3,7,36,,,15,0,20,20,25,25,18,14,137,5,7,12,149,4,4,40,30,60,40,35,205,2,2,152,,19,0,10,5,5,0,20,15,10,10,15,15,65,0,5,20,0,0,25,0,0,0,0,0,0,110,10,13,0.01,9,15,652,8,9,
1999,"B2","Dickson College","City",33,0,12,45,,,15,0,20,0,25,10,10,14,94,5,13,18,112,,19,40,60,60,20,25,205,2,2,212,4,5,10,10,5,5,0,30,0,10,10,15,15,50,0,5,20,0,10,35,10,15,15,0,0,40,155,5,5,1.04,3,4,729,5,6,
1999,"B3","Erindale College","City",19,12,7,38,,,0,0,20,20,25,10,0,6,81,5,15,20,101,,,30,10,30,30,5,105,,,152,,19,0,10,0,5,0,15,15,0,10,15,15,55,0,0,0,0,10,10,0,0,0,0,0,0,80,,,-1.33,,,476,,,
