"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
1998,"A1","Batemans Bay High School","City",0,0,0,0,27,28,15,15,0,20,25,25,0,5,105,30,1,31,136,8,9,0,10,20,0,20,50,34,36,76,25,27,10,10,0,0,0,20,0,10,10,0,0,20,0,5,0,0,0,5,10,0,0,0,0,10,55,24,26,-0.25,18,20,317,32,34,
1998,"A2","Bega High School","City",24,10,14,48,22,22,0,15,0,15,25,0,0,10,65,5,0,5,70,29,30,20,50,60,15,25,170,11,11,76,25,27,10,10,0,5,15,40,0,10,10,0,0,20,5,5,0,0,0,10,0,0,0,0,0,0,70,20,22,-0.49,24,26,434,22,23,
1998,"A3","Bowral High School","City",34,10,13,57,14,14,15,15,0,20,0,25,0,0,75,5,0,5,80,24,25,15,10,10,35,5,75,33,35,84,21,22,0,10,5,5,15,35,0,10,10,0,0,20,5,5,0,0,0,10,10,0,0,0,0,10,75,17,19,-0.74,30,32,371,27,28,
1998,"A4","Braidwood Central","Country",0,0,0,0,2,28,15,15,0,10,25,0,0,5,70,0,0,0,70,2,30,10,0,30,50,35,125,2,28,84,2,22,0,10,0,0,15,25,15,10,0,15,0,40,5,0,20,0,0,25,0,0,0,0,0,0,90,2,16,0.09,2,13,369,2,29,
1998,"A5","Canberra College Weston       ","City      ",26,10,13,49,21,21,15,15,20,15,25,25,30,0,145,5,0,5,150,5,6,50,20,60,15,30,175,9,9,88,19,20,10,10,5,0,15,40,0,10,10,0,15,35,5,5,0,0,10,20,10,15,0,0,0,25,120,7,7,0.77,3,4,582,9,10,
1998,"A6","Canberra College Woden","City",35,30,15,80,4,4,0,15,20,20,25,0,0,30,110,31,2,33,143,7,8,30,40,50,30,15,165,14,14,156,4,4,10,10,5,5,15,45,0,10,10,0,0,20,5,5,0,20,10,40,10,15,15,0,0,40,145,1,1,0.47,6,7,689,3,3,
1998,"A7","Canberra Girls Grammar","City",30,10,15,55,17,17,15,15,0,20,25,0,0,5,80,5,4,9,89,21,22,40,20,30,30,50,170,11,11,76,25,27,0,10,0,5,15,30,0,10,10,0,0,20,5,5,0,0,10,20,10,0,0,0,0,10,80,15,17,-0.20,17,19,470,19,20,
1998,"A8","Canberra Grammar","City",22,0,10,32,26,27,15,15,0,20,0,0,0,15,65,35,3,38,103,15,16,40,20,40,45,10,155,17,18,156,4,4,10,10,0,0,15,35,0,10,10,15,0,35,5,5,0,20,10,40,0,0,0,0,0,0,110,8,9,-0.50,25,27,556,14,15,
1998,"A9","Chevalier College","City",25,0,10,35,25,26,15,15,0,15,0,0,0,5,50,5,18,23,73,28,29,20,30,40,20,30,140,22,23,84,21,22,0,10,0,0,0,10,15,10,10,15,0,50,0,5,0,0,0,5,0,0,0,0,0,0,65,21,23,-0.74,31,33,397,24,25,
1998,"AT","ci                            ","Substitute",0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,30,30,N/A,30,120,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-1.98,,,120,,,
1998,"B1","Copland College","City",23,20,15,58,13,13,15,15,20,20,25,25,0,0,120,35,2,37,157,4,5,30,0,20,10,25,85,32,34,160,3,3,10,10,0,5,15,40,0,10,10,15,15,50,5,5,0,20,10,40,0,15,0,0,0,15,145,1,1,0.62,4,5,605,5,6,
1998,"B2","Daramalan College","City",31,35,14,80,4,4,0,15,0,10,25,25,0,0,75,5,0,5,80,24,25,0,30,30,60,60,180,8,8,104,18,19,10,10,5,0,15,40,0,10,10,15,0,35,5,5,0,0,10,20,0,15,15,0,0,30,125,4,4,0.07,12,14,569,11,12,
1998,"B3","Dickson College               ","City      ",38,30,16,84,2,2,15,15,20,20,0,0,30,0,100,35,0,35,135,9,10,30,60,60,20,50,220,1,1,76,25,27,10,10,0,5,15,40,0,10,10,0,0,20,5,5,0,0,0,10,10,0,0,0,0,10,80,15,17,0.27,9,10,595,7,8,
1998,"B4","Erindale College              ","City      ",36,29,16,81,3,3,15,15,0,20,25,0,0,0,75,0,20,20,95,19,20,20,50,20,40,45,175,9,9,88,19,20,10,10,5,5,15,45,15,10,10,0,0,35,5,5,0,0,10,20,10,0,0,0,0,10,110,8,9,0.00,14,16,549,15,16,
1998,"B5","Hawker College","City",27,15,15,57,14,14,0,15,0,15,25,25,0,0,80,35,3,38,118,11,12,30,20,40,35,20,145,21,22,64,32,34,0,10,5,5,15,35,0,10,10,15,0,35,0,5,0,0,10,15,10,15,0,0,0,25,110,8,9,-0.76,32,34,494,18,19,
1998,"B6","Lake Ginninderra College","City",28,10,14,52,18,18,15,15,20,20,25,0,0,15,110,35,0,35,145,6,7,60,20,40,20,10,150,19,20,112,15,15,10,10,5,0,15,40,0,10,10,15,15,50,5,5,0,0,0,10,0,0,0,0,0,0,100,14,15,-0.30,20,22,559,13,14,
1998,"B7","Lake Tuggeranong College      ","City      ",21,15,16,52,18,18,15,15,20,20,0,25,0,0,95,10,0,10,105,14,15,60,20,20,60,35,195,4,4,152,6,6,0,0,0,0,0,0,15,10,0,0,0,25,5,5,0,0,10,20,0,0,15,0,0,15,60,23,25,-0.29,19,21,564,12,13,
1998,"B8","Leeton High School","City",0,0,0,0,27,28,0,15,0,0,0,25,0,0,40,30,0,30,70,29,30,30,15,30,40,35,150,19,20,120,11,11,0,10,0,0,0,10,0,10,10,0,0,20,0,5,0,0,0,5,0,0,0,0,0,0,35,33,35,-0.39,23,25,375,26,27,
1998,"B9","MacKillop Catholic College","City",0,0,0,0,27,28,0,15,20,15,0,25,0,0,75,5,0,5,80,24,25,30,40,35,30,0,135,24,25,116,13,13,0,10,0,0,0,10,0,10,10,0,0,20,0,5,0,0,0,5,0,0,0,0,0,0,35,33,35,-0.65,29,31,366,28,30,
1998,"BT","mad                           ","Substitute",0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,,,30,30,30,N/A,N/A,90,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.16,,,90,,,
1998,"C1","Marian College","City",18,10,11,39,23,24,0,15,15,15,25,25,0,0,95,5,1,6,101,17,18,30,50,0,0,35,115,28,30,72,29,31,10,10,0,5,15,40,0,10,0,0,0,10,0,5,0,0,0,5,0,0,0,0,0,0,55,24,26,0.43,7,8,382,25,26,
1998,"C2","Marist College","City",24,32,14,70,9,9,15,0,20,15,25,0,30,30,135,35,20,55,190,2,3,20,60,40,40,45,205,3,3,164,2,2,10,10,5,5,15,45,15,10,10,15,15,65,5,5,0,0,10,20,0,0,0,0,0,0,130,3,3,0.54,5,6,759,1,1,
1998,"C3","Merici College","City",39,20,15,74,7,7,0,15,20,15,25,0,0,0,75,0,3,3,78,27,28,0,10,20,50,40,120,27,29,124,10,10,0,10,0,0,0,10,0,10,10,0,0,20,5,0,0,0,10,15,0,0,0,0,0,0,45,28,30,-0.52,27,29,441,21,22,
